timestamp,temp,pulse,stats
2020,37,119,100
2040,37.15,119,100
2060,37.15,121,99
2080,37.2,119,100
2100,37.2,121,99
2120,37.2,121,99
2140,36.35,118,100
2160,36.65,120,99
2180,36.7,118,100
2200,37.75,125,97
2220,36.75,120,99
2240,36.8,124,97
2260,36.8,124,97
2280,37.8,119,100
2300,36.95,122,98
2320,37,118,100
2340,37.15,120,99
2360,37.25,124,97
2380,37.25,120,99
2400,37.3,120,99
2420,37.3,118,100
2440,36.5,117,100
2460,36.65,121,98
2480,36.65,123,97
2500,36.75,117,100
2520,34.75,117,99
2540,36.8,121,98
2560,36.8,117,100
2580,36.8,119,99
2600,36.85,117,100
2620,37,117,100
2640,37,119,99
2660,36,118,99
2680,37.1,117,100
2700,37.1,121,98
2720,37.1,125,96
2740,37.1,125,96
2760,37.1,121,98
2780,36.15,116,100
2800,36.3,122,97
2820,36.3,122,97
2840,36.4,118,99
2860,36.45,116,100
2880,36.5,122,97
2900,36.65,116,100
2920,36.7,116,100
2940,37.7,121,98
2960,36.8,116,100
2980,36.8,122,97
3000,36.8,120,98
3020,36.85,122,97
3040,38.85,120,99
3060,36.85,124,96
3080,36.85,116,100
3100,36.9,120,98
3120,36.9,120,98
3140,37,120,98
3160,37,120,98
3180,37,120,98
3200,37.2,116,100
3220,37.2,120,98
3240,37.25,120,98
3260,37.35,116,100
3280,36.45,119,98
3300,37.45,116,100
3320,36.6,115,100
3340,36.6,121,97
3360,36.65,123,96
3380,36.7,115,100
3400,36.7,119,98
3420,37.75,122,97
3440,36.75,115,100
3460,36.75,115,100
3480,36.8,119,98
3500,36.85,123,96
3520,36.95,125,95
3540,36.95,119,98
3560,37,117,99
3580,37.1,115,100
3600,37.1,121,97
3620,37.1,119,98
3640,37.15,117,99
3660,36.15,122,96
3680,37.25,119,98
3700,37.35,127,94
3720,37.45,117,99
3740,36.5,114,100
3760,36.6,114,100
3780,36.65,114,100
3800,36.65,120,97
3820,36.65,114,100
3840,36.7,114,100
3860,36.75,118,98
3880,36.75,118,98
3900,36.8,120,97
3920,38.85,116,100
3940,38.85,116,100
3960,36.9,116,99
3980,36.95,114,100
4000,37,114,100
4020,37,118,98
4040,37,114,100
4060,37.15,122,96
4080,37.2,114,100
4100,37.2,114,100
4120,37.2,124,95
4140,37.25,124,95
4160,37.25,118,98
4180,37.4,114,100
4200,36.4,117,98
4220,36.4,117,98
4240,36.45,119,97
4260,36.45,115,99
4280,36.45,119,97
4300,36.6,119,97
4320,36.6,113,100
4340,36.65,119,97
4360,36.65,117,98
4380,36.65,121,96
4400,36.7,117,98
4420,37.7,114,100
4440,36.7,117,98
4460,37.75,114,100
4480,36.75,121,96
4500,36.8,113,100
4520,36.9,121,96
4540,36.9,117,98
4560,36.9,113,100
4580,36.95,117,98
4600,37,121,96
4620,37,121,96
4640,37,117,98
4660,37.1,121,96
4680,37.1,119,97
4700,37.1,117,98
4720,37.1,115,99
4740,36.25,112,100
4760,37.3,117,98
4780,36.3,120,96
4800,37.35,119,97
4820,37.35,115,99
4840,36.4,118,97
4860,36.45,112,100
4880,36.45,116,98
4900,39.45,125,95
4920,36.5,116,98
4940,36.5,114,99
4960,37.6,115,99
4980,36.6,116,98
5000,38.6,116,99
5020,36.65,118,97
5040,36.65,114,99
5060,36.7,114,99
5080,36.7,112,100
5100,36.7,112,100
5120,36.7,114,99
5140,36.75,116,98
5160,36.75,116,98
5180,36.75,120,96
5200,36.75,112,100
5220,36.75,116,98
5240,36.75,116,98
5260,36.8,116,98
5280,36.8,116,98
5300,36.85,118,97
5320,36.85,124,94
5340,36.85,118,97
5360,36.9,114,99
5380,36.9,112,100
5400,36.95,114,99
5420,36.95,114,99
5440,36.95,112,100
5460,37,116,98
5480,36,111,100
5500,37,114,99
5520,38,119,97
5540,37.15,114,99
5560,37.15,114,99
5580,37.3,112,100
5600,37.35,114,99
5620,36.4,113,99
5640,36.4,121,95
5660,36.5,121,95
5680,36.5,111,100
5700,37.5,116,98
5720,36.5,115,98
5740,36.6,115,98
5760,37.6,116,98
5780,36.6,111,100
5800,36.65,121,95
5820,36.65,115,98
5840,36.7,117,97
5860,36.7,115,98
5880,36.7,111,100
5900,36.75,111,100
5920,36.75,117,97
5940,36.75,111,100
5960,36.75,111,100
5980,36.75,115,98
6000,36.8,115,98
6020,36.8,111,100
6040,36.8,113,99
6060,36.8,115,98
6080,36.8,113,99
6100,36.85,119,96
6120,36.85,113,99
6140,36.85,113,99
6160,36.9,111,100
6180,36.9,117,97
6200,36.9,113,99
6220,36.9,111,100
6240,36.9,111,100
6260,36.95,113,99
6280,36.95,111,100
6300,36.95,115,98
6320,36.95,115,98
6340,37,117,97
6360,37,111,100
6380,37.1,115,98
6400,36.15,118,96
6420,37.15,111,100
6440,37.15,119,96
6460,36.2,112,99
6480,36.2,112,99
6500,37.2,115,98
6520,36.2,114,98
6540,37.2,113,99
6560,36.25,110,100
6580,36.4,118,96
6600,36.4,110,100
6620,36.4,110,100
6640,36.4,110,100
6660,36.4,116,97
6680,37.45,117,97
6700,36.45,114,98
6720,36.45,118,96
6740,36.5,110,100
6760,36.5,114,98
6780,36.6,110,100
6800,36.6,110,100
6820,36.6,114,98
6840,36.65,112,99
6860,36.65,116,97
6880,36.65,110,100
6900,37.7,111,100
6920,36.7,112,99
6940,37.75,121,95
6960,36.75,120,95
6980,37.75,117,97
7000,36.75,116,97
7020,36.8,110,100
7040,36.8,110,100
7060,36.8,110,100
7080,36.8,114,98
7100,36.8,116,97
7120,36.8,110,100
7140,36.8,110,100
7160,36.8,110,100
7180,36.8,112,99
7200,36.85,110,100
7220,36.85,116,97
7240,36.85,110,100
7260,36.9,114,98
7280,36.9,112,99
7300,36.9,118,96
7320,36.9,114,98
7340,36.9,112,99
7360,36.9,110,100
7380,35.9,109,100
7400,36.95,112,99
7420,36.95,110,100
7440,36.95,110,100
7460,37,114,98
7480,37,112,99
7500,37,112,99
7520,37,114,98
7540,37,116,97
7560,37.15,110,100
7580,37.15,114,98
7600,36.2,109,100
7620,37.2,112,99
7640,37.2,112,99
7660,37.2,110,100
7680,37.25,116,97
7700,37.25,114,98
7720,36.25,119,95
7740,37.3,114,98
7760,37.3,114,98
7780,35.3,110,99
7800,37.3,114,98
7820,36.3,109,100
7840,36.35,109,100
7860,36.35,113,98
7880,39.35,116,98
7900,37.35,114,98
7920,37.4,116,97
7940,36.4,117,96
7960,36.45,117,96
7980,37.5,118,96
8000,36.5,109,100
8020,36.6,115,97
8040,36.6,115,97
8060,36.65,115,97
8080,36.65,115,97
8100,36.65,115,97
8120,36.65,113,98
8140,36.7,119,95
8160,36.7,113,98
8180,36.7,111,99
8200,36.7,109,100
8220,36.75,111,99
8240,36.75,113,98
8260,36.75,115,97
8280,36.8,115,97
8300,36.8,109,100
8320,36.8,113,98
8340,36.8,109,100
8360,36.8,109,100
8380,36.85,109,100
8400,36.85,115,97
8420,36.85,111,99
8440,36.9,113,98
8460,36.9,115,97
8480,36.9,113,98
8500,36.95,113,98
8520,36.95,111,99
8540,37,109,100
8560,37,113,98
8580,37,109,100
8600,37,113,98
8620,37,109,100
8640,37,115,97
8660,37,113,98
8680,37,117,96
8700,37,113,98
8720,37.1,109,100
8740,37.1,117,96
8760,37.15,109,100
8780,37.15,111,99
8800,37.2,115,97
8820,36.25,110,99
8840,36.25,112,98
8860,37.25,117,96
8880,37.25,111,99
8900,36.3,114,97
8920,37.3,111,99
8940,38.4,118,96
8960,36.4,114,97
8980,36.4,110,99
9000,36.4,108,100
9020,37.4,111,99
9040,36.4,108,100
9060,37.45,109,100
9080,39.5,121,95
9100,36.5,112,98
9120,36.5,110,99
9140,36.6,108,100
9160,36.6,110,99
9180,36.6,108,100
9200,37.6,109,100
9220,36.65,108,100
9240,36.7,114,97
9260,36.7,110,99
9280,36.7,112,98
9300,36.7,110,99
9320,36.75,114,97
9340,36.75,114,97
9360,36.75,114,97
9380,36.75,108,100
9400,36.8,110,99
9420,36.8,114,97
9440,36.8,108,100
9460,36.8,110,99
9480,36.8,118,95
9500,37.8,115,97
9520,36.8,108,100
9540,36.8,114,97
9560,36.8,110,99
9580,36.8,108,100
9600,36.85,114,97
9620,36.85,110,99
9640,36.85,110,99
9660,36.85,114,97
9680,36.85,112,98
9700,36.85,110,99
9720,35.85,107,100
9740,36.9,108,100
9760,35.9,113,97
9780,36.9,110,99
9800,36.9,112,98
9820,37.95,115,97
9840,36.95,112,98
9860,37,108,100
9880,37,114,97
9900,36,113,97
9920,36.1,107,100
9940,37.1,108,100
9960,37.1,116,96
9980,37.1,118,95
10000,37.1,108,100
10020,37.15,110,99
10040,37.15,114,97
10060,38.15,121,94
10080,37.2,108,100
10100,37.2,110,99
10120,37.2,108,100
10140,36.25,111,98
10160,37.25,114,97
10180,37.25,110,99
10200,36.3,113,97
10220,36.4,109,99
10240,37.4,108,100
10260,36.4,109,99
10280,36.4,109,99
10300,36.45,115,96
10320,37.5,110,99
10340,37.5,110,99
10360,36.5,111,98
10380,36.5,109,99
10400,36.65,113,97
10420,36.65,107,100
10440,36.65,107,100
10460,36.65,107,100
10480,36.65,107,100
10500,36.7,107,100
10520,36.7,113,97
10540,36.7,111,98
10560,36.7,109,99
10580,36.7,113,97
10600,36.75,111,98
10620,36.75,109,99
10640,36.75,111,98
10660,36.75,109,99
10680,36.75,111,98
10700,36.8,107,100
10720,36.8,109,99
10740,36.8,111,98
10760,37.8,112,98
10780,36.85,109,99
10800,36.85,117,95
10820,36.85,111,98
10840,36.85,113,97
10860,36.85,111,98
10880,36.85,107,100
10900,36.9,111,98
10920,36.9,107,100
10940,36.9,111,98
10960,36.95,109,99
10980,36.95,109,99
11000,36.95,111,98
11020,36.95,107,100
11040,37,111,98
11060,37,111,98
11080,37,107,100
11100,37,109,99
11120,37,109,99
11140,37,109,99
11160,37.1,109,99
11180,37.1,111,98
11200,37.15,113,97
11220,37.15,111,98
11240,37.15,115,96
11260,38.15,108,100
11280,36.15,110,98
11300,37.15,109,99
11320,36.2,106,100
11340,37.2,107,100
11360,36.2,112,97
11380,36.2,106,100
11400,37.2,107,100
11420,37.2,111,98
11440,36.25,106,100
11460,36.25,112,97
11480,37.25,107,100
11500,36.25,110,98
11520,37.25,109,99
11540,36.3,110,98
11560,37.35,113,97
11580,37.35,111,98
11600,36.4,110,98
11620,36.4,110,98
11640,36.45,108,99
11660,36.5,112,97
11680,35.5,107,99
11700,36.5,108,99
11720,36.5,112,97
11740,37.5,109,99
11760,37.6,115,96
11780,36.6,108,99
11800,36.6,106,100
11820,36.6,112,97
11840,36.6,110,98
11860,37.65,113,97
11880,36.65,108,99
11900,36.65,108,99
11920,36.65,110,98
11940,36.65,106,100
11960,36.65,114,96
11980,36.7,110,98
12000,36.7,106,100
12020,38.7,110,99
12040,36.7,106,100
12060,37.7,111,98
12080,36.7,114,96
12100,36.7,106,100
12120,36.75,112,97
12140,36.75,108,99
12160,36.75,110,98
12180,36.75,110,98
12200,36.75,106,100
12220,36.75,106,100
12240,38.75,108,100
12260,36.8,110,98
12280,36.8,108,99
12300,36.8,114,96
12320,36.8,108,99
12340,36.8,108,99
12360,36.8,108,99
12380,36.85,106,100
12400,36.85,106,100
12420,36.85,112,97
12440,36.85,110,98
12460,36.9,110,98
12480,36.9,112,97
12500,36.9,106,100
12520,36.9,106,100
12540,36.9,110,98
12560,36.95,112,97
12580,36.95,110,98
12600,36.95,110,98
12620,36.95,114,96
12640,36.95,108,99
12660,36.95,106,100
12680,36.95,112,97
12700,36.95,108,99
12720,37,114,96
12740,37,112,97
12760,37,108,99
12780,36,107,99
12800,37,108,99
12820,37,108,99
12840,38,113,97
12860,37,112,97
12880,38.1,111,98
12900,37.1,108,99
12920,36.1,109,98
12940,37.1,112,97
12960,37.1,114,96
12980,37.1,106,100
13000,37.1,106,100
13020,37.15,112,97
13040,37.15,106,100
13060,36.2,111,97
13080,37.2,110,98
13100,37.2,106,100
13120,37.2,106,100
13140,37.25,106,100
13160,37.25,108,99
13180,37.3,108,99
13200,36.3,109,98
13220,37.3,110,98
13240,36.3,113,96
13260,37.35,106,100
13280,36.35,109,98
13300,37.35,112,97
13320,36.35,109,98
13340,36.4,107,99
13360,36.4,107,99
13380,37.4,106,100
13400,36.45,105,100
13420,36.45,107,99
13440,36.45,107,99
13460,36.5,107,99
13480,36.5,105,100
13500,36.5,113,96
13520,36.5,109,98
13540,36.5,109,98
13560,36.5,105,100
13580,36.6,109,98
13600,37.6,116,95
13620,36.6,109,98
13640,38.65,109,99
13660,36.65,109,98
13680,36.65,109,98
13700,36.65,107,99
13720,36.65,105,100
13740,36.65,109,98
13760,36.7,105,100
13780,36.7,105,100
13800,36.7,105,100
13820,36.7,105,100
13840,35.7,108,98
13860,36.7,105,100
13880,36.7,113,96
13900,35.7,114,95
13920,36.75,111,97
13940,36.75,107,99
13960,36.75,109,98
13980,36.75,107,99
14000,36.75,109,98
14020,36.75,107,99
14040,36.75,105,100
14060,36.75,109,98
14080,36.75,107,99
14100,36.75,105,100
14120,36.75,107,99
14140,36.75,107,99
14160,36.8,105,100
14180,36.8,107,99
14200,36.8,109,98
14220,36.8,107,99
14240,36.8,107,99
14260,35.8,104,100
14280,36.8,107,99
14300,36.8,109,98
14320,36.8,105,100
14340,36.8,105,100
14360,36.85,107,99
14380,36.85,105,100
14400,36.85,109,98
14420,36.85,107,99
14440,36.85,105,100
14460,36.85,107,99
14480,36.85,109,98
14500,36.85,109,98
14520,36.9,111,97
14540,35.9,108,98
14560,36.9,111,97
14580,36.9,113,96
14600,36.9,107,99
14620,36.9,105,100
14640,36.95,105,100
14660,36.95,105,100
14680,36.95,109,98
14700,36.95,109,98
14720,36.95,107,99
14740,37,107,99
14760,37,107,99
14780,37,109,98
14800,37,107,99
14820,38.1,106,100
14840,37.1,109,98
14860,37.15,111,97
14880,37.15,107,99
14900,37.15,107,99
14920,37.15,107,99
14940,37.2,105,100
14960,37.25,109,98
14980,37.25,109,98
15000,37.25,105,100
15020,36.25,106,99
15040,37.25,107,99
15060,36.25,106,99
15080,36.25,104,100
15100,36.3,106,99
15120,36.3,108,98
15140,36.3,104,100
15160,37.3,105,100
15180,36.3,108,98
15200,36.35,114,95
15220,36.4,104,100
15240,36.4,110,97
15260,36.4,110,97
15280,36.45,104,100
15300,36.45,110,97
15320,36.45,106,99
15340,36.5,108,98
15360,36.5,110,97
15380,36.5,104,100
15400,36.5,104,100
15420,36.5,104,100
15440,37.5,109,98
15460,36.5,104,100
15480,36.5,104,100
15500,36.6,104,100
15520,37.6,115,95
15540,36.6,108,98
15560,36.6,106,99
15580,37.6,111,97
15600,39.6,107,100
15620,36.6,110,97
15640,35.6,109,97
15660,38.6,110,98
15680,36.6,112,96
15700,36.65,110,97
15720,36.65,114,95
15740,36.65,110,97
15760,36.65,106,99
15780,37.65,111,97
15800,36.65,110,97
15820,36.65,104,100
15840,37.65,113,96
15860,36.65,108,98
15880,36.65,110,97
15900,36.7,108,98
15920,36.7,106,99
15940,36.7,104,100
15960,36.7,104,100
15980,37.7,109,98
16000,37.7,105,100
16020,36.7,106,99
16040,36.7,110,97
16060,36.7,110,97
16080,36.75,104,100
16100,36.75,114,95
16120,36.75,106,99
16140,36.75,112,96
16160,36.75,104,100
16180,36.75,108,98
16200,36.75,108,98
16220,36.8,104,100
16240,36.8,110,97
16260,36.8,104,100
16280,36.8,106,99
16300,36.8,110,97
16320,36.8,106,99
16340,36.8,106,99
16360,36.85,108,98
16380,36.85,110,97
16400,36.85,114,95
16420,36.85,104,100
16440,36.85,112,96
16460,36.85,104,100
16480,36.9,104,100
16500,36.9,108,98
16520,36.95,108,98
16540,36.95,106,99
16560,36.95,110,97
16580,36.95,108,98
16600,38,113,96
16620,37,112,96
16640,37,108,98
16660,37,114,95
16680,37,104,100
